Datum;Gemeentecode;Aantal
2020-03-31;3;1
2020-03-31;10;4
2020-03-31;14;9
2020-03-31;34;46
2020-03-31;47;1
2020-03-31;50;3
2020-03-31;72;1
2020-03-31;74;5
2020-03-31;80;16
2020-03-31;85;1
2020-03-31;86;4
2020-03-31;90;5
2020-03-31;98;2
2020-03-31;106;5
2020-03-31;109;5
2020-03-31;114;6
2020-03-31;118;4
2020-03-31;119;3
2020-03-31;141;8
2020-03-31;147;10
2020-03-31;148;7
2020-03-31;150;21
2020-03-31;153;24
2020-03-31;158;4
2020-03-31;160;9
2020-03-31;163;3
2020-03-31;164;6
2020-03-31;166;34
2020-03-31;168;2
2020-03-31;171;6
2020-03-31;173;8
2020-03-31;175;4
2020-03-31;177;14
2020-03-31;180;1
2020-03-31;183;7
2020-03-31;184;11
2020-03-31;189;2
2020-03-31;193;24
2020-03-31;197;1
2020-03-31;200;19
2020-03-31;202;28
2020-03-31;203;5
2020-03-31;209;12
2020-03-31;213;3
2020-03-31;214;5
2020-03-31;216;13
2020-03-31;221;3
2020-03-31;222;5
2020-03-31;225;12
2020-03-31;226;4
2020-03-31;228;24
2020-03-31;230;2
2020-03-31;232;7
2020-03-31;233;8
2020-03-31;243;8
2020-03-31;244;3
2020-03-31;246;17
2020-03-31;252;7
2020-03-31;262;2
2020-03-31;263;9
2020-03-31;267;10
2020-03-31;268;72
2020-03-31;269;6
2020-03-31;273;1
2020-03-31;274;10
2020-03-31;275;20
2020-03-31;277;1
2020-03-31;281;21
2020-03-31;285;3
2020-03-31;289;5
2020-03-31;293;2
2020-03-31;294;1
2020-03-31;296;27
2020-03-31;297;8
2020-03-31;299;16
2020-03-31;301;5
2020-03-31;302;15
2020-03-31;303;8
2020-03-31;307;24
2020-03-31;308;2
2020-03-31;310;11
2020-03-31;312;4
2020-03-31;313;1
2020-03-31;317;1
2020-03-31;321;9
2020-03-31;327;5
2020-03-31;331;11
2020-03-31;335;9
2020-03-31;339;1
2020-03-31;340;2
2020-03-31;342;9
2020-03-31;344;75
2020-03-31;345;7
2020-03-31;351;2
2020-03-31;352;5
2020-03-31;353;18
2020-03-31;355;12
2020-03-31;356;15
2020-03-31;358;5
2020-03-31;361;19
2020-03-31;362;28
2020-03-31;363;244
2020-03-31;370;2
2020-03-31;373;8
2020-03-31;375;5
2020-03-31;376;1
2020-03-31;377;3
2020-03-31;383;8
2020-03-31;384;4
2020-03-31;385;10
2020-03-31;388;13
2020-03-31;392;26
2020-03-31;394;31
2020-03-31;396;14
2020-03-31;397;4
2020-03-31;398;17
2020-03-31;399;5
2020-03-31;400;6
2020-03-31;402;13
2020-03-31;405;13
2020-03-31;406;9
2020-03-31;415;3
2020-03-31;416;6
2020-03-31;417;5
2020-03-31;420;9
2020-03-31;431;2
2020-03-31;432;1
2020-03-31;437;3
2020-03-31;439;35
2020-03-31;441;10
2020-03-31;448;1
2020-03-31;450;3
2020-03-31;451;9
2020-03-31;453;13
2020-03-31;457;2
2020-03-31;473;4
2020-03-31;479;32
2020-03-31;482;2
2020-03-31;484;29
2020-03-31;489;16
2020-03-31;498;1
2020-03-31;501;5
2020-03-31;502;20
2020-03-31;503;19
2020-03-31;505;26
2020-03-31;512;9
2020-03-31;513;13
2020-03-31;518;81
2020-03-31;523;1
2020-03-31;530;4
2020-03-31;531;3
2020-03-31;532;10
2020-03-31;534;3
2020-03-31;537;8
2020-03-31;542;2
2020-03-31;546;16
2020-03-31;547;5
2020-03-31;553;3
2020-03-31;556;8
2020-03-31;569;4
2020-03-31;575;8
2020-03-31;579;3
2020-03-31;589;15
2020-03-31;597;18
2020-03-31;599;120
2020-03-31;603;12
2020-03-31;606;19
2020-03-31;610;1
2020-03-31;613;4
2020-03-31;614;4
2020-03-31;622;12
2020-03-31;626;4
2020-03-31;627;4
2020-03-31;629;2
2020-03-31;632;22
2020-03-31;637;21
2020-03-31;638;2
2020-03-31;642;9
2020-03-31;654;3
2020-03-31;664;5
2020-03-31;668;9
2020-03-31;677;4
2020-03-31;678;1
2020-03-31;687;10
2020-03-31;703;4
2020-03-31;715;11
2020-03-31;716;20
2020-03-31;717;3
2020-03-31;718;5
2020-03-31;736;11
2020-03-31;737;1
2020-03-31;743;4
2020-03-31;744;1
2020-03-31;748;11
2020-03-31;753;18
2020-03-31;755;21
2020-03-31;756;8
2020-03-31;757;9
2020-03-31;758;113
2020-03-31;762;34
2020-03-31;765;3
2020-03-31;766;7
2020-03-31;770;11
2020-03-31;772;46
2020-03-31;777;21
2020-03-31;779;7
2020-03-31;784;13
2020-03-31;785;16
2020-03-31;786;10
2020-03-31;788;14
2020-03-31;794;35
2020-03-31;796;67
2020-03-31;797;22
2020-03-31;798;4
2020-03-31;809;15
2020-03-31;815;6
