Datum;Gemeentecode;Aantal
2020-02-27;855;1
2020-02-28;384;1
2020-02-28;855;1
2020-02-29;384;3
2020-02-29;503;1
2020-02-29;855;3
2020-03-01;109;1
2020-03-01;384;3
2020-03-01;503;1
2020-03-01;855;4
2020-03-01;1959;1
2020-03-02;-1;8
2020-03-02;109;1
2020-03-02;384;3
2020-03-02;503;1
2020-03-02;855;4
2020-03-02;1959;1
2020-03-03;109;2
2020-03-03;321;1
2020-03-03;344;2
2020-03-03;384;3
2020-03-03;392;1
2020-03-03;484;1
2020-03-03;503;1
2020-03-03;599;1
2020-03-03;772;1
2020-03-03;794;1
2020-03-03;809;4
2020-03-03;828;1
2020-03-03;855;2
2020-03-03;1959;3
2020-03-04;-1;1
2020-03-04;109;2
2020-03-04;297;1
2020-03-04;321;1
2020-03-04;344;2
2020-03-04;363;1
2020-03-04;375;1
2020-03-04;376;1
2020-03-04;384;2
2020-03-04;392;1
2020-03-04;484;1
2020-03-04;503;1
2020-03-04;523;1
2020-03-04;599;3
2020-03-04;772;1
2020-03-04;794;4
2020-03-04;809;5
2020-03-04;828;1
2020-03-04;855;3
2020-03-04;1942;1
2020-03-04;1959;3
2020-03-04;1963;1
2020-03-05;-1;5
2020-03-05;50;1
2020-03-05;109;3
2020-03-05;147;1
2020-03-05;216;1
2020-03-05;297;1
2020-03-05;310;2
2020-03-05;321;9
2020-03-05;342;4
2020-03-05;344;6
2020-03-05;363;2
2020-03-05;375;2
2020-03-05;376;1
2020-03-05;384;2
2020-03-05;392;1
2020-03-05;484;1
2020-03-05;503;1
2020-03-05;523;2
2020-03-05;599;5
2020-03-05;753;1
2020-03-05;766;1
2020-03-05;772;3
2020-03-05;794;4
2020-03-05;809;5
2020-03-05;828;1
2020-03-05;845;1
2020-03-05;855;3
2020-03-05;1652;1
2020-03-05;1883;2
2020-03-05;1904;2
2020-03-05;1926;2
2020-03-05;1942;1
2020-03-05;1959;4
2020-03-05;1963;1
2020-03-06;-1;4
2020-03-06;34;1
2020-03-06;50;1
2020-03-06;109;3
2020-03-06;147;1
2020-03-06;202;1
2020-03-06;209;1
2020-03-06;216;1
2020-03-06;268;1
2020-03-06;274;1
2020-03-06;297;1
2020-03-06;310;3
2020-03-06;321;9
2020-03-06;342;6
2020-03-06;344;8
2020-03-06;352;1
2020-03-06;363;2
2020-03-06;375;2
2020-03-06;376;1
2020-03-06;384;2
2020-03-06;392;1
2020-03-06;484;1
2020-03-06;503;1
2020-03-06;518;2
2020-03-06;523;4
2020-03-06;599;9
2020-03-06;614;1
2020-03-06;632;2
2020-03-06;668;1
2020-03-06;753;1
2020-03-06;758;2
2020-03-06;766;1
2020-03-06;772;4
2020-03-06;794;4
2020-03-06;809;5
2020-03-06;824;1
2020-03-06;828;1
2020-03-06;845;2
2020-03-06;855;4
2020-03-06;856;2
2020-03-06;866;1
2020-03-06;867;1
2020-03-06;935;2
2020-03-06;965;2
2020-03-06;1581;1
2020-03-06;1621;1
2020-03-06;1652;1
2020-03-06;1705;1
2020-03-06;1876;1
2020-03-06;1883;4
2020-03-06;1904;3
